"","seed","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","micro_F1","macro_F1"
"1","2762",0.732,0.693,0.691,0.77,0.178,0,NA,0.912,0.845,0.758
"2","5176",0.728,0.689,0.687,0.766,0.178,0,NA,0.908,0.843,0.76
"3","6295",0.732,0.693,0.691,0.77,0.178,0,NA,0.908,0.845,0.759
"4","6955",0.724,0.684,0.683,0.762,0.178,0,NA,0.905,0.84,0.752
"5","7978",0.736,0.697,0.695,0.774,0.178,0,NA,0.901,0.848,0.764
"6","8252",0.73,0.691,0.689,0.768,0.178,0,NA,0.895,0.844,0.757
"7","8390",0.73,0.691,0.689,0.768,0.178,0,NA,0.909,0.844,0.759
"8","9085",0.728,0.688,0.687,0.766,0.178,0,NA,0.904,0.843,0.756
"9","9452",0.73,0.691,0.689,0.768,0.178,0,NA,0.903,0.844,0.761
"10","9503",0.724,0.684,0.683,0.762,0.178,0,NA,0.911,0.84,0.752
